timestamp,"treatment","control","true_effect","N","bwfactor","atet","se","ci_lower","ci_upper","coverage","seed"
20250609_232529,3,2,5,2000,0.25,5.39675757551983,1.11583197450024,3.20976709270114,7.58374805833851,1,3001
20250609_232529,3,2,5,2000,0.25,4.40709135729222,0.901072318318735,2.64102206592149,6.17316064866295,1,3002
20250609_232529,3,2,5,2000,0.25,4.60852899129269,1.10982529269649,2.43331138847595,6.78374659410944,1,3003
20250609_232529,3,2,5,2000,0.25,4.59639955635952,1.04854492120752,2.5412892746204,6.65150983809865,1,3004
20250609_232529,3,2,5,2000,0.25,4.7819039780841,1.04373031055378,2.73623015982588,6.82757779634231,1,3005
20250609_232529,3,2,5,2000,0.25,4.43079186701035,1.06335618881591,2.3466520341934,6.5149316998273,1,3006
20250609_232529,3,2,5,2000,0.25,5.44468351291914,1.18336095366182,3.125338663031,7.76402836280728,1,3007
20250609_232529,3,2,5,2000,0.25,4.94493739186784,0.838525860606608,3.30145690497344,6.58841787876225,1,3008
20250609_232529,3,2,5,2000,0.25,4.69798540364659,0.854543245911825,3.02311141842746,6.37285938886572,1,3009
20250609_232529,3,2,5,2000,0.25,4.39721342860791,1.44204971877759,1.57084791588772,7.2235789413281,1,3010
20250609_232529,3,2,5,2000,0.25,5.66082319019987,0.893075485661504,3.9104274028277,7.41121897757204,1,3011
20250609_232529,3,2,5,2000,0.25,4.72460094352666,1.41619533460317,1.94890909263079,7.50029279442253,1,3012
20250609_232529,3,2,5,2000,0.25,5.47868834394939,0.836337436037995,3.83949709039235,7.11787959750643,1,3013
20250609_232529,3,2,5,2000,0.25,4.93124921214722,1.42347371944241,2.14129198910083,7.72120643519361,1,3014
20250609_232529,3,2,5,2000,0.25,4.84497065119536,1.1860284323596,2.52039763913004,7.16954366326068,1,3015
20250609_232529,3,2,5,2000,0.25,6.88146054101121,1.34529227134956,4.24473614048598,9.51818494153643,1,3016
20250609_232529,3,2,5,2000,0.25,4.60234395129608,0.975862792981975,2.68968802319875,6.51499987939342,1,3017
20250609_232529,3,2,5,2000,0.25,5.6754410457806,1.35090365831577,3.02771852889829,8.32316356266291,1,3018
20250609_232529,3,2,5,2000,0.25,5.55659364324832,0.99849719276907,3.5995751067566,7.51361217974005,1,3019
20250609_232529,3,2,5,2000,0.25,4.87637125087915,0.798556749465241,3.31122878231591,6.4415137194424,1,3020
20250609_232529,3,2,5,2000,0.25,6.00383691116158,1.09033211963103,3.86682522549755,8.14084859682561,1,3021
20250609_232529,3,2,5,2000,0.25,4.88029298827994,0.925898496502368,3.06556528179552,6.69502069476437,1,3022
20250609_232529,3,2,5,2000,0.25,5.7946050445703,0.980100699617374,3.87364297209774,7.71556711704286,1,3023
20250609_232529,3,2,5,2000,0.25,4.44974393422758,0.67680803473392,3.12322456170176,5.7762633067534,1,3024
20250609_232529,3,2,5,2000,0.25,5.06181696341797,1.3838951121034,2.34943238531428,7.77420154152166,1,3025
20250609_232529,3,2,5,2000,0.25,4.50251343880516,1.48095609647436,1.59989282703039,7.40513405057993,1,3026
20250609_232529,3,2,5,2000,0.25,5.31771294358701,0.747240977327531,3.85314754025254,6.78227834692149,1,3027
20250609_232529,3,2,5,2000,0.25,5.05722402992291,0.891985523215385,3.30896452968963,6.80548353015618,1,3028
20250609_232529,3,2,5,2000,0.25,4.99223553770685,1.2412697100743,2.55939161086074,7.42507946455296,1,3029
20250609_232529,3,2,5,2000,0.25,5.0595319492961,0.669736792274267,3.74687195731715,6.37219194127505,1,3030
20250609_232529,3,2,5,2000,0.25,5.14494815963366,1.01043298675792,3.16453589679689,7.12536042247042,1,3031
20250609_232529,3,2,5,2000,0.25,5.71347221483256,0.973910741869616,3.80464223661143,7.62230219305369,1,3032
20250609_232529,3,2,5,2000,0.25,5.29077304596702,1.39686987225938,2.55295840524958,8.02858768668446,1,3033
20250609_232529,3,2,5,2000,0.25,5.83737136158712,1.07343105069838,3.7334851623313,7.94125756084294,1,3034
20250609_232529,3,2,5,2000,0.25,4.06235546110156,1.04984022754015,2.00470642560152,6.12000449660159,1,3035
20250609_232529,3,2,5,2000,0.25,4.68983683301422,0.79534803186133,3.1309833353912,6.24869033063724,1,3036
20250609_232529,3,2,5,2000,0.25,4.73948463824017,1.2962963645297,2.19879045047175,7.2801788260086,1,3037
20250609_232529,3,2,5,2000,0.25,5.53900521776148,0.982356321954868,3.6136222067447,7.46438822877825,1,3038
20250609_232529,3,2,5,2000,0.25,4.7817623179768,0.816580928824882,3.18129310701777,6.38223152893584,1,3039
20250609_232529,3,2,5,2000,0.25,5.14927835096565,1.80472993999062,1.61207266676289,8.6864840351684,1,3040
20250609_232529,3,2,5,2000,0.25,4.61693218802287,0.721777362710437,3.20227455225412,6.03158982379163,1,3041
20250609_232529,3,2,5,2000,0.25,5.08814889430409,1.13340846772613,2.86670911778815,7.30958867082003,1,3042
20250609_232529,3,2,5,2000,0.25,5.77520799020899,0.950669352711611,3.91193029768823,7.63848568272975,1,3043
20250609_232529,3,2,5,2000,0.25,5.12348535120104,0.939768361737188,3.28157320838594,6.96539749401613,1,3044
20250609_232529,3,2,5,2000,0.25,5.46393329356153,1.42739150615068,2.66629734966782,8.26156923745524,1,3045
20250609_232529,3,2,5,2000,0.25,6.24785668806399,1.12685639897811,4.03925873031839,8.45645464580959,1,3046
20250609_232529,3,2,5,2000,0.25,5.76441699808457,1.00310714878463,3.79836311383203,7.73047088233711,1,3047
20250609_232529,3,2,5,2000,0.25,6.41109949870536,2.29166061509567,1.91952722832894,10.9026717690818,1,3048
20250609_232529,3,2,5,2000,0.25,5.65718903678296,1.25058581096774,3.20608588770937,8.10829218585656,1,3049
20250609_232529,3,2,5,2000,0.25,6.34382255505891,1.21470596982929,3.96304260238771,8.72460250773012,1,3050
20250609_232529,3,2,5,2000,0.25,4.43002538441702,0.76597941144907,2.92873332507765,5.93131744375638,1,3051
20250609_232529,3,2,5,2000,0.25,5.19294884135104,0.909788859274426,3.40979544363739,6.97610223906469,1,3052
20250609_232529,3,2,5,2000,0.25,5.78519494980121,1.4747573378169,2.89472368174391,8.67566621785851,1,3053
20250609_232529,3,2,5,2000,0.25,5.85185101869548,0.920072465046161,4.04854212403801,7.65515991335294,1,3054
20250609_232529,3,2,5,2000,0.25,6.00478320896544,1.12214842982618,3.80541270119796,8.20415371673291,1,3055
20250609_232529,3,2,5,2000,0.25,4.92829399911084,0.992713713966268,2.98261087277796,6.87397712544372,1,3056
20250609_232529,3,2,5,2000,0.25,4.51282615478715,0.802442382266852,2.9400679858756,6.0855843236987,1,3057
20250609_232529,3,2,5,2000,0.25,4.78895151914611,0.864089660788983,3.09536690458628,6.48253613370595,1,3058
20250609_232529,3,2,5,2000,0.25,4.8694865597001,0.852694872757456,3.19823531929352,6.54073780010667,1,3059
20250609_232529,3,2,5,2000,0.25,5.35776120842262,0.866351658916004,3.65974315900073,7.05577925784452,1,3060
20250609_232529,3,2,5,2000,0.25,4.52479837423989,1.52055102992618,1.54457311892928,7.50502362955049,1,3061
20250609_232529,3,2,5,2000,0.25,5.36816421859849,1.0831721117011,3.24518589060615,7.49114254659084,1,3062
20250609_232529,3,2,5,2000,0.25,5.09446315018046,0.89904979905921,3.33235792371643,6.85656837664448,1,3063
20250609_232529,3,2,5,2000,0.25,4.80775206798736,2.25170281797793,0.394495640863278,9.22100849511145,1,3064
20250609_232529,3,2,5,2000,0.25,3.83301408500972,1.20721932679916,1.46690768304267,6.19912048697677,1,3065
20250609_232529,3,2,5,2000,0.25,5.68107722526632,0.828276249250817,4.0576856074848,7.30446884304785,1,3066
20250609_232529,3,2,5,2000,0.25,4.84291968869013,1.21401650385458,2.46349106449791,7.22234831288235,1,3067
20250609_232529,3,2,5,2000,0.25,4.70315197574749,1.29234669075163,2.17019900633477,7.2361049451602,1,3068
20250609_232529,3,2,5,2000,0.25,5.61775827332076,1.23476175167517,3.19766971054984,8.03784683609169,1,3069
20250609_232529,3,2,5,2000,0.25,4.77259228583442,0.756167623773993,3.29053097696216,6.25465359470668,1,3070
20250609_232529,3,2,5,2000,0.25,5.11050454836427,0.758820882912763,3.62324294713837,6.59776614959017,1,3071
20250609_232529,3,2,5,2000,0.25,5.06730983310188,0.850142069310503,3.40106199551094,6.73355767069282,1,3072
20250609_232529,3,2,5,2000,0.25,5.00953898570442,1.0155875101709,3.01902404262075,7.00005392878808,1,3073
20250609_232529,3,2,5,2000,0.25,5.24349366567797,0.916747057693861,3.44670244966494,7.040284881691,1,3074
20250609_232529,3,2,5,2000,0.25,3.24139057553719,0.6470986339585,1.97310055853347,4.50968059254092,0,3075
20250609_232529,3,2,5,2000,0.25,5.30804934242443,1.25331354928999,2.85159992447998,7.76449876036887,1,3076
20250609_232529,3,2,5,2000,0.25,5.21095952239766,0.786256880640555,3.66992435374537,6.75199469104995,1,3077
20250609_232529,3,2,5,2000,0.25,4.99426911025537,0.786700864598437,3.45236374903592,6.53617447147483,1,3078
20250609_232529,3,2,5,2000,0.25,5.08198439554995,0.878949781671964,3.35927447925356,6.80469431184635,1,3079
20250609_232529,3,2,5,2000,0.25,4.51326197793187,1.40173379257731,1.7659142285676,7.26060972729614,1,3080
20250609_232529,3,2,5,2000,0.25,3.9054433511562,0.995069040601041,1.95514386944734,5.85574283286507,1,3081
20250609_232529,3,2,5,2000,0.25,5.11444075154966,1.42900080400129,2.31365064182835,7.91523086127097,1,3082
20250609_232529,3,2,5,2000,0.25,5.072693937719,1.03095371524646,3.05206178610817,7.09332608932982,1,3083
20250609_232529,3,2,5,2000,0.25,5.88864822498981,1.17071741132447,3.59408426271988,8.18321218725974,1,3084
20250609_232529,3,2,5,2000,0.25,5.38977512619817,0.859712274455704,3.70477003119797,7.07478022119836,1,3085
20250609_232529,3,2,5,2000,0.25,5.05021438536806,0.885274008437453,3.31510921238124,6.78531955835487,1,3086
20250609_232529,3,2,5,2000,0.25,4.50921663195812,0.881356402483613,2.78178982554645,6.23664343836979,1,3087
