timestamp,"treatment","control","true_effect","N","bwfactor","atet","se","ci_lower","ci_upper","coverage","seed"
20250618_231239,7,2,45,4000,0.25,45.2002208354419,1.00393917585779,43.2325362080918,47.167905462792,1,3001
20250618_231239,7,2,45,4000,0.25,45.0047223347191,0.87759710288069,43.2846636201363,46.724781049302,1,3002
20250618_231239,7,2,45,4000,0.25,46.1921019511665,1.02836674281706,44.1765401723463,48.2076637299867,1,3003
20250618_231239,7,2,45,4000,0.25,44.6571745534374,0.658106113041788,43.3673102738698,45.9470388330049,1,3004
20250618_231239,7,2,45,4000,0.25,44.6327836465896,0.833430625067529,42.9992896378446,46.2662776553347,1,3005
20250618_231239,7,2,45,4000,0.25,45.6083780448003,0.798336577578658,44.0436671052052,47.1730889843955,1,3006
20250618_231239,7,2,45,4000,0.25,46.3258923885712,1.22284587595362,43.9291585130588,48.7226262640837,1,3007
20250618_231239,7,2,45,4000,0.25,46.0495986138668,1.47162004318399,43.1652763302989,48.9339208974347,1,3008
20250618_231239,7,2,45,4000,0.25,44.9572112724153,0.737135131905691,43.512452962141,46.4019695826896,1,3009
20250618_231239,7,2,45,4000,0.25,44.0614907220568,0.754074651917983,42.583531562643,45.5394498814707,1,3010
20250618_231239,7,2,45,4000,0.25,44.9286126674004,0.86024193790881,43.2425694511082,46.6146558836926,1,3011
20250618_231239,7,2,45,4000,0.25,46.4594456620977,1.08197239348867,44.3388187385933,48.5800725856021,1,3012
20250618_231239,7,2,45,4000,0.25,45.2577777931779,1.03907592710183,43.2212263988558,47.2943291875001,1,3013
20250618_231239,7,2,45,4000,0.25,45.7998233551899,1.55599438362909,42.7501304031302,48.8495163072495,1,3014
20250618_231239,7,2,45,4000,0.25,44.4170530089434,1.26585541310571,41.9360219896212,46.8980840282657,1,3015
20250618_231239,7,2,45,4000,0.25,45.1935788415169,0.962602968514009,43.3069116918181,47.0802459912157,1,3016
20250618_231239,7,2,45,4000,0.25,45.2313076000513,1.15661636679356,42.9643811772064,47.4982340228963,1,3017
20250618_231239,7,2,45,4000,0.25,45.1444660878296,0.872395173426552,43.434602967627,46.8543292080322,1,3018
20250618_231239,7,2,45,4000,0.25,46.4475806938341,1.53768977450079,43.433764116417,49.4613972712512,1,3019
20250618_231239,7,2,45,4000,0.25,45.5752628122961,0.950960511260816,43.7114144595051,47.4391111650871,1,3020
20250618_231239,7,2,45,4000,0.25,45.2802373826174,0.840413809229234,43.633056584418,46.9274181808169,1,3021
20250618_231239,7,2,45,4000,0.25,46.3461327242031,1.44886099177593,43.5064173617173,49.1858480866889,1,3022
20250618_231239,7,2,45,4000,0.25,45.7773259330303,1.01282040279241,43.7922344207498,47.7624174453108,1,3023
20250618_231239,7,2,45,4000,0.25,45.1529991270973,0.927732533132956,43.3346767748706,46.971321479324,1,3024
20250618_231239,7,2,45,4000,0.25,45.8641311849388,1.1882154233175,43.5352717493615,48.1929906205161,1,3025
20250618_231239,7,2,45,4000,0.25,44.5029924167133,0.829870684720969,42.8764757628346,46.129509070592,1,3026
20250618_231239,7,2,45,4000,0.25,45.6717913443347,1.1727399677016,43.3732632444089,47.9703194442605,1,3027
20250618_231239,7,2,45,4000,0.25,44.1732745455798,0.850169079959625,42.5069737680894,45.8395753230702,1,3028
20250618_231239,7,2,45,4000,0.25,45.2683809656761,0.943167839900491,43.4198059680947,47.1169559632575,1,3029
20250618_231239,7,2,45,4000,0.25,46.0823056110325,1.7215604287929,42.7081091733891,49.4565020486759,1,3030
20250618_231239,7,2,45,4000,0.25,44.9302520727918,0.758404895670876,43.443805791578,46.4166983540056,1,3031
20250618_231239,7,2,45,4000,0.25,44.0516447383561,0.935684661816983,42.2177365003083,45.885552976404,1,3032
20250618_231239,7,2,45,4000,0.25,45.1838388174197,0.933015182243434,43.3551626631935,47.0125149716459,1,3033
20250618_231239,7,2,45,4000,0.25,45.02301692126,1.52673177903166,42.0306776203052,48.0153562222148,1,3034
20250618_231239,7,2,45,4000,0.25,45.2919452437182,1.2856366915976,42.7721436309837,47.8117468564527,1,3035
20250618_231239,7,2,45,4000,0.25,45.4685398523314,0.879033719926024,43.7456654200801,47.1914142845827,1,3036
20250618_231239,7,2,45,4000,0.25,44.8419818672532,0.789688649120347,43.2942205559772,46.3897431785291,1,3037
20250618_231239,7,2,45,4000,0.25,46.1622649663886,0.991372911562556,44.2192097644774,48.1053201682998,1,3038
20250618_231239,7,2,45,4000,0.25,45.1444475990708,0.77263765267984,43.6301056267188,46.6587895714229,1,3039
20250618_231239,7,2,45,4000,0.25,45.1004743785614,0.755332625324958,43.6200496365764,46.5808991205464,1,3040
20250618_231239,7,2,45,4000,0.25,45.0063172800944,0.940486516227893,43.1629975803422,46.8496369798466,1,3041
20250618_231239,7,2,45,4000,0.25,45.0481468296605,0.853958789113572,43.3744183587164,46.7218753006045,1,3042
20250618_231239,7,2,45,4000,0.25,44.0319141328594,1.07593924904014,41.9231119551876,46.1407163105311,1,3043
20250618_231239,7,2,45,4000,0.25,45.1753488753003,1.06960486537763,43.0789618614714,47.2717358891293,1,3044
20250618_231239,7,2,45,4000,0.25,46.2464535191516,1.12502397735445,44.0414470417928,48.4514599965103,1,3045
20250618_231239,7,2,45,4000,0.25,45.333769285648,0.805872380686986,43.754288443366,46.9132501279301,1,3046
20250618_231239,7,2,45,4000,0.25,44.0071030708283,1.02325749485898,42.001555233994,46.0126509076626,1,3047
20250618_231239,7,2,45,4000,0.25,44.8885208515943,0.891301382324609,43.1416022428673,46.6354394603213,1,3048
20250618_231239,7,2,45,4000,0.25,45.6231897398752,1.08626917270253,43.4941412838621,47.7522381958883,1,3049
20250618_231239,7,2,45,4000,0.25,45.205115406025,0.796088405746666,43.6448108022516,46.7654200097984,1,3050
20250618_231239,7,2,45,4000,0.25,44.523516970665,0.915296262694886,42.7295692605989,46.317464680731,1,3051
20250618_231239,7,2,45,4000,0.25,45.7309337776721,1.20814093409728,43.3630210585929,48.0988464967514,1,3052
20250618_231239,7,2,45,4000,0.25,44.8028029633259,0.712859712106891,43.4056236015668,46.199982325085,1,3053
20250618_231239,7,2,45,4000,0.25,44.618117520465,0.752914831387616,43.1424315675193,46.0938034734108,1,3054
20250618_231239,7,2,45,4000,0.25,45.0576046804768,1.01624569457009,43.0657997196756,47.0494096412781,1,3055
20250618_231239,7,2,45,4000,0.25,44.7922007249988,1.25693680883285,42.3286498488437,47.2557516011539,1,3056
20250618_231239,7,2,45,4000,0.25,44.4173170337776,0.852400571761562,42.7466426127236,46.0879914548316,1,3057
20250618_231239,7,2,45,4000,0.25,44.9125626593559,0.639888958422709,43.6584033467425,46.1667219719692,1,3058
