treatment,control,true_effect,N,bwfactor,bias,se,rmse,avse,coverage_rate
4.0,2.0,12.0,8000,0.25,0.22817877195690706,0.33489025106069775,0.405202411588587,0.54545469335866559,0.99899999999999878
4.0,2.0,12.0,8000,0.5,0.24171842467772819,0.24417181817206696,0.34355897404801811,0.38847007412501466,0.99100000000000055
4.0,2.0,12.0,8000,0.75,0.2634592097862658,0.21082437154779959,0.33741155749440477,0.32118918997166751,0.97100000000000064
4.0,2.0,12.0,8000,1.0,0.29347164945425597,0.19383536107582083,0.35169356434258953,0.28217094654001262,0.92400000000000193
4.0,2.0,12.0,8000,1.25,0.33256005030490066,0.18348271131574473,0.37980741953553826,0.25694574900369921,0.83424999999999927
4.0,2.0,12.0,8000,1.5,0.37979220202931785,0.17753200857958515,0.41922768442585129,0.23929005317671451,0.7034999999999989
4.0,2.0,12.0,8000,1.75,0.43316473135707412,0.17391389747566163,0.46676564431831563,0.22635469264718669,0.5227500000000016
4.0,2.0,12.0,8000,2.0,0.49217953507179146,0.1721255528918034,0.52140242989490615,0.21672388851358698,0.34150000000000036
5.0,2.0,21.0,2000,0.25,0.2996798357026158,0.53525578991142309,0.61338009412623606,0.86008622736505258,0.99750000000000028
5.0,2.0,21.0,2000,0.5,0.28814725502954985,0.39745365730665105,0.49087550146150322,0.6146148574813779,0.99425000000000008
5.0,2.0,21.0,2000,0.75,0.307289727411014,0.3534627654887787,0.46832859103160579,0.51500154809957166,0.98500000000000154
5.0,2.0,21.0,2000,1.0,0.33789493060545439,0.33079928635679567,0.47283590699213279,0.45843549941444434,0.96799999999999919
5.0,2.0,21.0,2000,1.25,0.3785362946158628,0.3227170195442719,0.49740322121635472,0.42349445071511554,0.93299999999999961
5.0,2.0,21.0,2000,1.5,0.42421220480952471,0.31912376836883061,0.53082060458542568,0.40037920358962553,0.88450000000000106
5.0,2.0,21.0,2000,1.75,0.474232671902417,0.32147397807522365,0.57290165761634382,0.38512445176224891,0.8219999999999984
